Provinsi,Luas Daerah,Penduduk,,,,,Pendapatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jumlah Penduduk 2020,Jumlah Penduduk 2021,Jumlah Penduduk 2022,Jumlah Penduduk 2023,Jumlah Penduduk 2024,Februari 2020,,,rata-rata,Agustus 2020,,,rata-rata,2020,,,Jumlah,Februari 2021,,,rata-rata,Agustus 2021,,,rata-rata,2021,,,Jumlah,Februari 2022,,,rata-rata,Agustus 2022,,,rata-rata,2022,,,Jumlah,Februari 2023,,,rata-rata,Agustus 2023,,,rata-rata,2023,,,Jumlah,Februari 2024,,,rata-rata,Agustus 2024,,,rata-rata,2024,,,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,,Kelompok Umur,,,,Kelompok Umur,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Barat,16594.75,1419000,1437000,1459000,1481000,1503000,1054600,1645600,833800,1178000,901400,1342700,1034000,1092700,978000,1494200,933900,1135400,1347600,1278900,935700,1187400,888700,1240200,1012500,1047100,1118200,1259600,974100,1117300,677600,1439900,1156900,1091500,983400,1273800,966000,1074400,1356900,1061500,1082900,1028900,991400,1494700,1049000,1178400,1237700,1640200,1455300,1444400,1114600,1567500,1252200,1311400,1450500,1417100,1246700,1371400,1353500,1662000,1333900,1449800,1402000,1539600,1290300,1410600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku,46158.27,1849000,1863000,1882000,1921000,1946000,1649800,1826500,1615300,1697200,990900,1589700,1337800,1306100,1320400,1708100,1476600,1501700,1040600,1701000,1232600,1324700,970300,1336900,1109300,1138800,1005500,1519000,1171000,1231800,1246800,1744400,1356000,1449100,1194600,1575700,1309100,1359800,1660100,1332600,1404400,1277200,1248800,1310900,1202400,1254000,1490800,1756100,1322500,1523100,1369800,1533500,1262500,1388600,1244200,1576800,1298800,1373300,1395100,1910900,1464900,1590300,1319700,1743900,1381900,1481800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maluku Utara,32998.7,1283000,1299000,1319000,1337000,1356000,1775800,1750400,1384300,1636800,1540000,1784500,1378000,1567500,1657900,1767500,1381200,1602200,1358100,1597100,1123900,1359700,1412500,1669900,1313700,1465400,1385300,1633500,1218800,1412500,1252400,1639000,1274400,1388600,1921100,1904200,1501700,1775700,1771600,1388100,1582100,1848400,1548200,1820100,1403100,1590500,1652400,1992700,1578500,1741200,1600300,1906400,1490800,1665800,1725200,1851400,1332700,1636400,1772600,2214300,1880500,1955800,1748900,2032900,1606600,1796100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua Barat,60275.31,1134000,1157000,1183000,1187000,579000,1979100,2888600,3054800,2640800,1527500,2637400,1993700,2052900,1753300,2763000,2524300,2346900,1993200,2589200,1742200,2108200,1451300,2278500,1681600,1803800,1722300,2433900,1711900,1956000,1651100,2033600,2345800,2010200,1397900,2197300,2019500,1871600,2115500,2182700,1940900,1634700,1759800,2478500,1953600,2064000,1934100,2660200,2204000,2266100,1847000,2569400,2078800,2165000,2026300,2895700,2102700,2341600,2070000,2656300,1921200,2215800,2048200,2776000,2012000,2278700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua Barat Daya,39122.95,-,,,,627000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849000,3169900,3559500,2859500,1715500,2569600,2402500,2229200,1782300,2869800,2981000,2544300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,82680.96,4304000,4355000,4419000,4483000,1061000,1597300,2472200,2047800,2039100,1703700,2318300,1931000,1984300,1597300,2395300,1989400,2011700,1745300,2235400,2586300,2189000,1639300,2306500,2254600,2066800,1692300,2271000,2420500,2127900,1709100,2376200,1595900,1893700,1828300,2286200,2149700,2088100,2331200,1872800,1990900,1958200,1536400,1936400,1757300,1743400,1854800,2444600,2185500,2161600,1695600,2190500,1971400,1952500,1544900,2347400,1674200,1855500,2028300,2568900,2142300,2246500,1786600,2458200,1908300,2051000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua Selatan,117849.16,-,-,-,-,542000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3228000,3238600,2394200,2953600,2202000,2329000,1741400,2090800,2715000,2783800,2067800,2522200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua Tengah,61072.91,-,-,-,-,1473000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347600,1659100,1706600,1571100,1906800,2148100,1790000,1948300,1627200,1903600,1748300,1759700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua Pegunungan,51213.33,-,-,-,-,1467000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046800,2337300,2544300,2309500,2319200,2996800,1947600,2421200,2183000,2667100,2246000,2365300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892410.11,270204000,272682000,275774000,278696000,281604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
