Provinsi,Luas Daerah,Penduduk,,,,,Pendapatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jumlah Penduduk 2020,Jumlah Penduduk 2021,Jumlah Penduduk 2022,Jumlah Penduduk 2023,Jumlah Penduduk 2024,Februari 2020,,,rata-rata,Agustus 2020,,,rata-rata,2020,,,Jumlah,Februari 2021,,,rata-rata,Agustus 2021,,,rata-rata,2021,,,Jumlah,Februari 2022,,,rata-rata,Agustus 2022,,,rata-rata,2022,,,Jumlah,Februari 2023,,,rata-rata,Agustus 2023,,,rata-rata,2023,,,Jumlah,Februari 2024,,,rata-rata,Agustus 2024,,,rata-rata,2024,,,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,,Kelompok Umur,,,,Kelompok Umur,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepulauan Bangka Belitung,16690.13,1456000,1473000,1495000,1512000,1532000,1603900,2048700,1457300,1703300,1248300,1948400,1259600,1485400,1426100,1998600,1358500,1594400,1359700,1814800,1408000,1527500,1749200,2181700,1537800,1822900,1554500,1998300,1472900,1675200,1518500,2386000,1686200,1863600,2080000,2601500,1951600,2211000,2493800,1818900,2037300,2145500,2198200,2344100,1895800,2146000,2080200,2628800,1995900,2235000,2139200,2486500,1945900,2190500,2109900,2762700,1841900,2238200,2057000,2556000,2167200,2260100,2083500,2659400,2004600,2249100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepulauan Riau,8269.71,2065000,2118000,2180000,2153000,2183000,2339600,2552300,1955400,2282400,1449800,2600200,1941600,1997200,1894700,2576300,1948500,2139800,1733400,2849100,1846400,2143000,2020800,2175700,1613600,1936700,1877100,2512400,1730000,2039800,2114200,2525800,2038400,2226100,2087000,2564700,1855500,2169100,2545300,1947000,2197600,2128000,2153500,2663300,1597500,2138100,2202300,3098900,2603100,2634800,2177900,2881100,2100300,2386400,2555300,2839400,1562800,2319200,1906600,3200200,2451800,2519500,2231000,3019800,2007300,2419400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKI Jakarta,660.98,10562000,10610000,10680000,10672000,10685000,2506100,3406200,3440700,3117700,2170300,2921600,3063200,2718400,2338200,3163900,3252000,2918000,1718800,2723700,2729000,2390500,1787700,2625400,2315800,2243000,1753300,2674600,2522400,2316700,2685600,3905400,3413700,3334900,3016100,4572500,4557300,4048600,4239000,3985500,3691800,3532400,2777600,3561800,4313000,3550800,2129400,3836200,3671700,3212400,2453500,3699000,3992400,3381600,2481500,2783600,2441200,2568800,3387300,4061600,4138100,3862300,2934400,3422600,3289700,3215600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,37044.86,48274000,48782000,49406000,49860000,50345000,1552600,2256600,1497200,1768800,1428800,1962600,1637000,1676100,1490700,2109600,1567100,1722500,1556900,1978100,1586900,1707300,1367500,1717000,1373600,1486000,1462200,1847600,1480300,1596700,1610600,2033800,1558700,1734400,1802800,2233800,1803800,1946800,2133800,1681300,1840600,1874800,1755800,2132800,1687500,1858700,1983400,2413900,1841600,2079600,1869600,2273400,1764600,1969200,1450500,2278500,1867700,1865600,1726400,2326900,1801500,1951600,1588500,2302700,1834600,1908600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,34337.49,36516000,36743000,37032000,37541000,37892000,1437600,1732800,1292800,1487700,1035600,1480100,1076700,1197500,1236600,1606500,1184800,1342600,1122400,1476100,1102900,1233800,1009900,1318300,951800,1093300,1066200,1397200,1027400,1163600,1216800,1500600,1012400,1243300,1263000,1615600,1216900,1365200,1558100,1114700,1304200,1314100,1274200,1535600,1110800,1306900,1340100,1749400,1213100,1434200,1307200,1642500,1162000,1370500,1197100,1421400,1062600,1227000,1349200,1696300,1243400,1429600,1273200,1558900,1153000,1328300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI Yogyakarta,3170.65,3669000,3713000,3762000,3737000,3760000,1369400,1688800,,1529100,970200,1459700,960600,1130200,1169800,1574300,480300,1329600,896000,1384200,890200,1056800,892400,1321300,924800,1046200,894200,1352800,907500,1051500,1142700,1566600,1130200,1279800,1721700,1625700,1129200,1492200,1596200,1129700,1386000,1607000,1332300,1720200,965100,1339200,1218400,1712100,1049300,1326600,1275400,1716200,1007200,1332900,1410800,1192200,908200,1170400,1472100,1687100,1009900,1389700,1441500,1439700,959100,1280100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,48036.84,40666000,40879000,41150000,41528000,41815000,1338800,1762000,1159500,1420100,1252000,1690700,1257600,1400100,1295400,1726400,1208600,1410100,1408000,1621200,1229400,1419500,1203300,1518100,1114400,1278600,1305700,1569700,1171900,1349100,1038700,1527300,1193900,1253300,1367300,1976500,1484100,1609300,1751900,1339000,1431300,1488300,1348900,1661100,1170300,1393400,1510200,1943400,1432100,1628600,1429600,1802300,1301200,1511000,1205100,1479000,1122500,1268900,1591900,2063900,1454200,1703300,1398500,1771500,1288400,1486100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,9352.77,11905000,12062000,12252000,12308000,12431000,2586800,2593500,2064700,2415000,1940200,2432100,2181600,2184600,2263500,2512800,2123200,2299800,2113000,2332100,2262600,2235900,1618900,2191400,2139600,1983300,1866000,2261800,2201100,2109600,1752600,2439100,2117800,2103200,1931500,2731700,2300200,2321100,2585400,2209000,2212200,2126300,1113600,2522600,2024900,1887000,2040100,2949700,2419000,2469600,1576900,2736200,2222000,2178300,2236000,2633400,2634900,2501400,2098700,2560000,2763500,2474100,2167400,2596700,2699200,2487800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,5590.15,4317000,4363000,4415000,4404000,4433000,2117000,2604500,1370300,2030600,1564100,1641500,1053900,1419800,1840600,2123000,1212100,1725200,3255200,1870000,1213300,2112800,1330600,1371200,966400,1222700,2292900,1620600,1089900,1667800,806200,1468000,987700,1087300,1995400,2259900,1453200,1902800,1864000,1220500,1495100,1949100,1470800,2225800,1276700,1657800,2732400,2652400,1590700,2325200,2101600,2439100,1433700,1991500,2646500,2551100,1638500,2278700,2056800,2863000,1766800,2228900,2351700,2707100,1702700,2253800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Barat,19675.89,5320000,5390000,5474000,5560000,5646000,1069900,1663900,1230600,1321500,958100,1463000,1209700,1210300,1014000,1563500,1220200,1265900,1094000,1262700,1052900,1136500,743100,1192300,969900,968400,918600,1227500,1011400,1052500,850600,1388500,1031100,1090100,1285200,1489700,1058100,1277700,1439100,1044600,1183900,1281400,1253300,1751900,1419600,1474900,1220700,1888300,1448700,1519200,1237000,1820100,1434200,1497100,1190100,1537900,1412100,1380000,1157200,1839000,1347200,1447800,1173700,1688500,1379700,1413900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
